% Model,Concave Reflector-Parametric Sweep.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 22 2015, 11:47"
% Table,Table 2 - Surface Maximum 1 (actd.p_t)
% Rbar,Dbar,t (µs),Total acoustic pressure field (Pa)
0.64,0.7,2480,19328.496332274
0.64,0.7,2482,15668.839568098596
0.64,0.7,2484,15061.759392552705
0.64,0.7,2486,14235.054719310092
0.64,0.7,2487.9999999999995,15212.44276392878
0.64,0.7,2490,15863.51186656821
0.64,0.7,2492,17152.88826860204
0.64,0.7,2493.9999999999995,18364.002200524003
0.64,0.7,2496,18469.6746892901
0.64,0.7,2498,19279.191433587337
0.64,0.7,2500,21714.417095738303
0.64,0.9,2450,26272.755466501276
0.64,0.9,2451.9999999999995,24717.91883627545
0.64,0.9,2454,21806.987180796677
0.64,0.9,2456,18382.955059299093
0.64,0.9,2457.9999999999995,17921.994769185574
0.64,0.9,2460,17009.212930864946
0.64,0.9,2462,16609.261553591543
0.64,0.9,2464,16528.78947654588
0.64,0.9,2466,18685.765707867246
0.64,0.9,2467.9999999999995,19960.783568058912
0.64,0.9,2470,21626.846177969095
0.64,0.9,2472,25140.814651196742
0.64,0.9,2474,27097.514378370193
0.64,0.9,2476,27489.1954567657
0.64,0.9,2477.9999999999995,26116.15585067273
0.64,0.9,2480,23398.48190960772
0.64,0.9,2482,19713.25387803892
0.64,0.9,2484,16691.035485910827
0.64,0.9,2486,16840.55698511798
0.64,0.9,2487.9999999999995,19754.14726891782
0.64,0.9,2490,22852.99065879906
0.64,0.9,2492,25200.66436465054
0.64,0.9,2493.9999999999995,26112.718438533553
0.64,0.9,2496,25654.605534336843
0.64,0.9,2498,23617.703841261875
0.64,0.9,2500,20487.8189182833
0.64,1.1,2450,25693.68381732796
0.64,1.1,2451.9999999999995,25113.671250487438
0.64,1.1,2454,23428.011572933923
0.64,1.1,2456,20705.430843045517
0.64,1.1,2457.9999999999995,17971.08650178299
0.64,1.1,2460,16957.65737098834
0.64,1.1,2462,17927.92139942609
0.64,1.1,2464,20363.624198283458
0.64,1.1,2466,22586.83650227193
0.64,1.1,2467.9999999999995,23872.48529638363
0.64,1.1,2470,23946.184039212243
0.64,1.1,2472,22767.051481761606
0.64,1.1,2474,20417.10427019593
0.64,1.1,2476,17314.936180338438
0.64,1.1,2477.9999999999995,15830.101243160134
0.64,1.1,2480,15812.299581562573
0.64,1.1,2482,16190.080728424646
0.64,1.1,2484,16391.769765723024
0.64,1.1,2486,17448.429631829953
0.64,1.1,2487.9999999999995,18986.075178402316
0.64,1.1,2490,19700.492959780622
0.64,1.1,2492,22753.316653623424
0.64,1.1,2493.9999999999995,24545.88962526598
0.64,1.1,2496,25102.409683787926
0.64,1.1,2498,24163.074107483822
0.64,1.1,2500,22098.815128783815
0.64,1.3,2450,19433.27343715845
0.64,1.3,2451.9999999999995,15501.37496659621
0.64,1.3,2454,13956.18902892292
0.64,1.3,2456,15378.842341263819
0.64,1.3,2457.9999999999995,17082.249278623556
0.64,1.3,2460,18287.637819480442
0.64,1.3,2462,19299.924052416212
0.64,1.3,2464,20773.670502619414
0.64,1.3,2466,20964.211305185723
0.64,1.3,2467.9999999999995,23191.441881787425
0.64,1.3,2470,24175.600683024928
0.64,1.3,2472,23931.58475500028
0.64,1.3,2474,22328.650562585288
0.64,1.3,2476,19927.11125041083
0.64,1.3,2477.9999999999995,17208.016772648374
0.64,1.3,2480,15921.337469819555
0.64,1.3,2482,17289.331520183892
0.64,1.3,2484,20120.715666420794
0.64,1.3,2486,22769.369557784827
0.64,1.3,2487.9999999999995,24416.436207365943
0.64,1.3,2490,24822.49649447416
0.64,1.3,2492,23711.481713145386
0.64,1.3,2493.9999999999995,21422.756583412083
0.64,1.3,2496,17978.2111523505
0.64,1.3,2498,14255.070196860028
0.64,1.3,2500,15070.292059757368
0.64,1.5,2450,44775.30896856666
0.64,1.5,2451.9999999999995,59387.082126132205
0.64,1.5,2454,69290.72404173206
0.64,1.5,2456,74228.50044190718
0.64,1.5,2457.9999999999995,73772.89220880813
0.64,1.5,2460,69900.69634468449
0.64,1.5,2462,62030.15713940883
0.64,1.5,2464,49668.924742267474
0.64,1.5,2466,33969.12385570271
0.64,1.5,2467.9999999999995,22541.901449150235
0.64,1.5,2470,18732.806746401126
0.64,1.5,2472,37462.11369205797
0.64,1.5,2474,53306.32468997492
0.64,1.5,2476,65551.02112922513
0.64,1.5,2477.9999999999995,73288.25541864877
0.64,1.5,2480,76196.75727368238
0.64,1.5,2482,73693.82165103588
0.64,1.5,2484,66428.29906186408
0.64,1.5,2486,55612.859565440725
0.64,1.5,2487.9999999999995,40870.95245134212
